Year,Month,Day,Time,Lat,Lon,Depth,Mag,Region,Timestamp
1999,08,17,00:01:38,40.756,29.955,17,7.6,"TURKEY",934848098
2025,04,23,09:49:10,40.8395,28.142,10,6.2,"TURKEY",1745401750
1999,08,17,13:04:25,40.878,28.706,8,6,"TURKEY",934895065
1999,09,13,11:55:27,40.75,30.079,10.4,5.8,"TURKEY",937223727
2019,09,26,10:59:26,40.89,28.1727,10,5.7,"TURKEY",1569495566
1999,09,29,00:13:06,40.738,29.331,12.2,5.2,"TURKEY",938563986
1999,08,19,15:17:45,40.629,29.137,12,5.2,"TURKEY",935075865
1999,08,31,08:10:49,40.756,29.935,4,5.2,"TURKEY",936087049
1983,10,21,20:34:49,40.1435,29.3521,12.3,5.1,"TURKEY",435616489
2023,12,04,07:42:19,40.438,28.8561,6.5,5.1,"TURKEY",1701675739
2006,10,24,14:00:22,40.4758,29.0356,14.1,5,"TURKEY",1161698422
1988,04,24,20:49:33,40.876,28.2361,10.8,5,"TURKEY",577918173
2025,04,23,10:02:33,40.9205,28.4795,10,5,"TURKEY",1745402553
2025,04,23,12:12:57,40.8591,28.2296,10,5,"TURKEY",1745410377
1999,08,17,00:16:26,40.775,29.934,10,5,"TURKEY",934848986
2000,12,07,12:16:38,41.409,29.362,10,5,"TURKEY",976191398
1999,09,09,01:32:07,40.702,29.146,8.5,5,"TURKEY",936840727
2012,06,07,20:54:26,40.8459,27.9342,7.7,5,"TURKEY",1339102466
1999,08,17,02:50:46,40.783,30.064,11.3,4.9,"TURKEY",934858246
2020,01,11,13:37:37,40.9186,28.2605,10,4.9,"TURKEY",1578749857
2019,09,24,08:00:24,40.8722,28.2498,10,4.9,"TURKEY",1569312024
1993,12,12,17:21:26,41.5494,28.786,28.2,4.8,"TURKEY",755716886
1992,03,22,16:52:24,40.2011,28.3489,24.5,4.8,"TURKEY",701283144
1999,08,26,17:49:38,40.769,30.003,12.2,4.8,"TURKEY",935689778
1991,02,12,09:54:58,40.7967,28.8231,10,4.8,"TURKEY",666352498
1983,02,01,13:54:11,40.2038,28.9369,3.1,4.8,"TURKEY",412955651
2006,10,20,18:15:24,40.2478,28.0145,1.7,4.8,"TURKEY",1161368124
1983,10,30,14:46:37,40.1387,29.3779,10,4.7,"TURKEY",436373197
1985,09,14,15:23:09,40.7249,29.112,7.6,4.7,"TURKEY",495559389
1999,08,17,01:07:54,40.761,29.948,22,4.6,"TURKEY",934852074
1971,05,01,13:45:27,40.9517,27.9865,13,4.6,"TURKEY",41953527
1986,10,26,04:49:29,40.8005,28.993,10,4.6,"TURKEY",530686169
2006,12,19,19:15:37,40.3855,28.3113,10,4.6,"TURKEY",1166555737
1999,08,17,01:33:07,40.682,29.108,7.4,4.6,"TURKEY",934853587
1999,10,20,23:08:20,40.831,29.027,6.6,4.6,"TURKEY",940460900
1981,12,26,17:53:34,40.1476,28.74,0,4.6,"TURKEY",378237214
1999,08,17,10:46:43,40.766,29.698,13.3,4.5,"TURKEY",934886803
2014,07,03,05:04:45,40.248,28.031,13,4.5,"TURKEY",1404363885
2011,07,11,16:09:13,40.1811,29.9579,12.3,4.5,"TURKEY",1310400553
1981,03,12,04:06:00,40.8006,28.0861,12.2,4.5,"TURKEY",353217960
2025,04,23,10:01:04,40.8025,28.2762,10,4.5,"TURKEY",1745402464
1982,06,09,04:13:36,40.1403,28.8944,10,4.5,"TURKEY",392444016
1991,03,03,08:39:25,40.6255,29.0024,10,4.5,"TURKEY",667989565
1999,08,20,09:28:55,40.618,29.132,9.8,4.5,"TURKEY",935141335
1999,09,18,00:48:25,40.603,29.206,9.5,4.5,"TURKEY",937615705
2003,06,09,17:44:02,40.1861,28.0099,9.1,4.5,"TURKEY",1055180642
1981,07,23,16:35:28,40.2973,28.9364,6.8,4.5,"TURKEY",364754128
1988,01,01,12:21:51,40.1365,29.232,6.4,4.5,"TURKEY",568038111
1999,08,31,08:33:23,40.732,29.945,5.9,4.5,"TURKEY",936088403
1999,08,19,14:15:57,40.601,29.149,3.1,4.5,"TURKEY",935072157
2016,06,07,04:09:45,40.2627,29.146,11.5,4.4,"TURKEY",1465272585
2004,05,16,03:30:48,40.7529,29.3295,11,4.4,"TURKEY",1084678248
2019,09,26,11:26:37,40.8556,28.1944,10,4.4,"TURKEY",1569497197
1993,03,18,07:22:44,40.4552,27.9811,9.5,4.4,"TURKEY",732439364
2015,11,16,15:45:44,40.8751,28.7644,9.3,4.4,"TURKEY",1447688744
2003,07,20,04:46:26,40.294,29.6803,7,4.4,"TURKEY",1058676386
2010,10,03,17:49:03,40.8323,28.176,3.2,4.4,"TURKEY",1286128143
1987,10,27,03:15:30,40.4182,28.4575,17.7,4.3,"TURKEY",562302930
2025,04,25,17:33:16,40.8476,28.4496,13.7,4.3,"TURKEY",1745602396
2008,03,12,18:53:32,40.638,28.9981,12,4.3,"TURKEY",1205348012
2020,09,24,13:38:31,40.8072,28.0956,10,4.3,"TURKEY",1600954711
2019,10,10,16:52:03,40.722,29.2217,10,4.3,"TURKEY",1570726323
2019,09,26,20:20:18,40.8284,28.1856,10,4.3,"TURKEY",1569529218
2018,12,20,06:34:25,40.6063,28.9761,10,4.3,"TURKEY",1545287665
1993,03,18,07:51:37,40.4271,28.004,8.5,4.3,"TURKEY",732441097
1983,11,15,10:59:11,40.1242,29.2767,7.2,4.3,"TURKEY",437741951
1985,04,11,13:11:45,40.7036,29.009,6,4.3,"TURKEY",482073105
2008,07,09,04:54:48,40.4283,28.7156,5.6,4.3,"TURKEY",1215579288
1972,11,10,07:40:41,40.4072,28.7267,0,4.3,"TURKEY",90229241
1973,06,11,00:29:33,40.3123,29.3293,26,4.2,"TURKEY",108606573
1981,05,03,20:41:12,40.7945,28.0902,24,4.2,"TURKEY",357770472
1999,08,17,02:23:12,40.526,29.42,19.6,4.2,"TURKEY",934856592
1974,01,18,10:57:14,40.4998,28.9394,18.4,4.2,"TURKEY",127738634
